Price,adj close,close,high,low,open,volume
Ticker,es=f,es=f,es=f,es=f,es=f,es=f
Datetime,,,,,,
2025-11-19 22:18:00-05:00,6746.75,6746.75,6747.0,6745.25,6745.25,0
2025-11-19 22:19:00-05:00,6747.0,6747.0,6747.0,6746.25,6746.75,77
2025-11-19 22:20:00-05:00,6747.0,6747.0,6747.0,6746.5,6746.75,68
2025-11-19 22:21:00-05:00,6747.25,6747.25,6747.25,6746.75,6746.75,73
2025-11-19 22:22:00-05:00,6747.5,6747.5,6747.5,6747.0,6747.25,125
2025-11-19 22:23:00-05:00,6748.25,6748.25,6748.5,6747.25,6747.25,158
2025-11-19 22:24:00-05:00,6748.0,6748.0,6748.5,6747.75,6748.25,61
2025-11-19 22:25:00-05:00,6747.0,6747.0,6748.0,6746.75,6747.75,105
2025-11-19 22:26:00-05:00,6747.75,6747.75,6748.0,6746.75,6746.75,109
2025-11-19 22:27:00-05:00,6747.5,6747.5,6748.0,6747.25,6747.75,142
2025-11-19 22:28:00-05:00,6746.75,6746.75,6747.75,6746.75,6747.75,135
2025-11-19 22:29:00-05:00,6747.5,6747.5,6747.75,6747.0,6747.0,104
2025-11-19 22:30:00-05:00,6747.25,6747.25,6747.75,6747.25,6747.25,96
2025-11-19 22:31:00-05:00,6747.25,6747.25,6747.75,6746.75,6747.5,100
2025-11-19 22:32:00-05:00,6747.25,6747.25,6747.5,6746.75,6747.25,65
2025-11-19 22:33:00-05:00,6746.25,6746.25,6747.25,6745.75,6747.0,258
2025-11-19 22:34:00-05:00,6747.25,6747.25,6747.5,6746.0,6746.5,125
2025-11-19 22:35:00-05:00,6747.25,6747.25,6748.0,6747.0,6747.25,115
2025-11-19 22:36:00-05:00,6746.75,6746.75,6747.25,6746.25,6747.25,98
2025-11-19 22:37:00-05:00,6745.5,6745.5,6746.5,6745.25,6746.5,197
2025-11-19 22:38:00-05:00,6744.5,6744.5,6745.25,6744.25,6745.25,140
2025-11-19 22:39:00-05:00,6744.75,6744.75,6745.5,6744.5,6744.5,139
2025-11-19 22:40:00-05:00,6743.75,6743.75,6744.75,6743.75,6744.75,212
2025-11-19 22:41:00-05:00,6745.0,6745.0,6745.0,6743.75,6744.0,127
2025-11-19 22:42:00-05:00,6745.25,6745.25,6745.25,6744.25,6744.75,75
2025-11-19 22:43:00-05:00,6744.75,6744.75,6745.25,6744.5,6745.25,45
2025-11-19 22:44:00-05:00,6744.75,6744.75,6745.0,6744.25,6744.5,106
2025-11-19 22:45:00-05:00,6742.75,6742.75,6745.0,6742.75,6745.0,136
2025-11-19 22:46:00-05:00,6738.75,6738.75,6743.25,6738.75,6743.0,658
2025-11-19 22:47:00-05:00,6742.25,6742.25,6742.5,6738.5,6738.75,371
2025-11-19 22:48:00-05:00,6743.5,6743.5,6744.25,6741.5,6742.0,423
2025-11-19 22:49:00-05:00,6745.0,6745.0,6745.0,6743.0,6743.5,227
2025-11-19 22:50:00-05:00,6747.0,6747.0,6747.0,6744.5,6745.0,258
2025-11-19 22:51:00-05:00,6746.75,6746.75,6747.75,6746.25,6747.0,120
2025-11-19 22:52:00-05:00,6746.5,6746.5,6747.25,6745.25,6746.75,153
2025-11-19 22:53:00-05:00,6747.0,6747.0,6747.0,6745.75,6746.75,117
2025-11-19 22:54:00-05:00,6746.25,6746.25,6747.5,6746.25,6747.0,99
