date,trades,pnl,total_r
2025-11-20,1,-13.37640129203876,-0.9999999999999999
2025-11-21,6,-79.40208963746636,-6.0
2025-11-24,4,41.17900384421084,4.0
2025-11-25,3,-36.87784529585677,-3.0
