symbol,direction,entry_time,exit_time,entry_price,exit_price,stop_price,tp_price,size,risk_amount,risk_pct,pnl,pnl_pct,r_multiple,leverage,htf_bias,smt_tag,context,tp1_hit,tp2_hit,grade,setup_score
ES=F,long,2025-11-19T09:59:00-05:00,2025-11-19T10:48:00-05:00,6691.75,6683.5,6683.5,6716.5,1.195501924010909,9.862890873089999,0.9862890873089999,-9.86289087309,-0.986289087309,-1.0000000000000002,8.0,long,,"bos,fvg",False,False,A+,7
ES=F,long,2025-11-19T13:51:00-05:00,2025-11-19T14:17:00-05:00,6655.25,6645.5,6645.5,6684.5,1.1902027531670907,11.604476843379134,1.1720070620938356,-11.604476843379134,-1.1604476843379132,-1.0,8.0,long,,"bos,fvg",False,False,A+,7
ES=F,long,2025-11-20T10:10:00-05:00,2025-11-20T10:14:00-05:00,6770.5,6766.25,6766.25,6783.25,1.15623086304826,4.913981167955106,0.502178568791079,-4.9139811679551055,-0.4913981167955105,-0.9999999999999998,8.0,long,,"bos,sweep",False,False,A+,8
ES=F,long,2025-11-20T14:10:00-05:00,2025-11-20T15:38:00-05:00,6588.5,6576.0,6576.0,6626.0,1.1822037199551652,14.777546499439566,1.5177961599757155,-14.777546499439564,-1.4777546499439564,-0.9999999999999999,8.0,long,,"bos,fvg",False,False,A+,7
ES=F,long,2025-11-21T10:06:00-05:00,2025-11-21T10:08:00-05:00,6584.0,6570.25,6570.25,6625.25,1.165056020189716,16.019520277608596,1.6707168894289188,-16.019520277608596,-1.6019520277608594,-1.0,8.0,long,,"bos,fvg",False,False,A+,7
ES=F,long,2025-11-21T14:06:00-05:00,2025-11-21T14:13:00-05:00,6668.25,6661.75,6661.75,6687.75,1.1311172608567797,7.352262195569068,0.7798147939864284,-7.352262195569068,-0.7352262195569068,-1.0,8.0,long,,"bos,sweep",False,False,A+,8
ES=F,long,2025-11-24T10:03:00-05:00,2025-11-24T10:10:00-05:00,6683.75,6678.0,6678.0,6701.0,1.1196939707714482,6.438240331935827,0.6882363942397606,-6.438240331935827,-0.6438240331935826,-1.0,8.0,long,,"bos,fvg",False,False,A+,7
ES=F,long,2025-11-24T13:54:00-05:00,2025-11-24T13:56:00-05:00,6726.25,6724.25,6724.25,6732.25,1.104961702953084,2.209923405906168,0.23787400111503443,-2.209923405906168,-0.2209923405906168,-1.0,8.0,long,,"bos,sweep",False,False,A+,8
ES=F,long,2025-11-24T14:02:00-05:00,2025-11-24T14:13:00-05:00,6727.75,6725.0,6725.0,6736.0,1.1020875132460228,3.030740661426563,0.32700382743116196,-3.0307406614265626,-0.30307406614265625,-0.9999999999999999,8.0,long,,"bos,fvg",False,False,A+,7
ES=F,long,2025-11-25T09:59:00-05:00,2025-11-25T10:01:00-05:00,6718.25,6711.0,6711.0,6740.0,1.100036965273623,7.975267998233768,0.8633200610277975,-7.975267998233767,-0.7975267998233768,-0.9999999999999999,8.0,long,,"bos,fvg",False,False,A+,7
ES=F,long,2025-11-25T10:08:00-05:00,2025-11-25T10:11:00-05:00,6713.75,6704.75,6704.75,6740.75,1.0912710777082328,9.821439699374096,1.072425991435487,-9.821439699374096,-0.9821439699374096,-1.0,8.0,long,,"bos,fvg",False,False,A+,7
