symbol,direction,entry_time,exit_time,entry_price,exit_price,stop_price,tp_price,size,risk_amount,risk_pct,pnl,pnl_pct,r_multiple,leverage,htf_bias,smt_tag,context,tp1_hit,tp2_hit,grade,setup_score
ES=F,long,2025-11-19T09:51:00-05:00,2025-11-19T09:59:00-05:00,6672.0,6693.0,6665.0,6693.0,1.1990407673860912,8.393285371702637,0.8393285371702638,25.179856115107917,2.5179856115107917,3.0000000000000004,8.0,long,,htf_long_bos_only,True,True,A,6
ES=F,long,2025-11-19T09:52:00-05:00,2025-11-19T10:11:00-05:00,6675.0,6701.25,6666.25,6701.25,1.2286799773664216,10.750949801956189,1.0486891385767791,32.25284940586857,3.146067415730337,3.0,8.0,long,,htf_long_bos_fvg,True,True,A+,7
ES=F,long,2025-11-19T09:53:00-05:00,2025-11-19T10:15:00-05:00,6680.0,6704.0,6672.0,6704.0,1.266386473677816,10.131091789422529,0.9580838323353293,30.393275368267588,2.874251497005988,3.0,8.0,long,,htf_long_bos_fvg,True,True,A+,7
ES=F,long,2025-11-19T09:54:00-05:00,2025-11-19T10:04:00-05:00,6680.25,6697.5,6674.5,6697.5,1.3027368507337227,7.490736891718906,0.6885969836458217,22.472210675156717,2.065790950937465,3.0,8.0,long,,htf_long_bos_fvg,True,True,A+,7
ES=F,long,2025-11-19T09:55:00-05:00,2025-11-19T10:00:00-05:00,6682.75,6694.0,6679.0,6694.0,1.329151252480671,4.984317196802516,0.448916987767012,14.95295159040755,1.346750963301036,3.0,8.0,long,,htf_long_bos_sweep,True,True,A+,8
ES=F,long,2025-11-19T09:56:00-05:00,2025-11-19T10:12:00-05:00,6684.0,6702.75,6677.75,6702.75,1.3467996925850487,8.417498078656553,0.7480550568521842,25.252494235969664,2.244165170556553,3.0000000000000004,8.0,long,,htf_long_bos_sweep_fvg,True,True,A+,9
ES=F,long,2025-11-20T09:51:00-05:00,2025-11-20T09:52:00-05:00,6779.5,6775.25,6775.25,6792.25,1.3576265357513417,5.769912776943203,0.5015119109078839,-5.769912776943203,-0.5015119109078839,-1.0,8.0,long,,htf_long_bos_only,False,False,A,6
ES=F,long,2025-11-20T09:54:00-05:00,2025-11-20T09:56:00-05:00,6777.75,6783.0,6776.0,6783.0,1.3511666551452441,2.364541646504177,0.20655822359927703,7.093624939512532,0.6196746707978312,3.0000000000000004,8.0,long,,htf_long_bos_sweep,True,True,A+,8
ES=F,long,2025-11-20T09:56:00-05:00,2025-11-20T10:06:00-05:00,6783.5,6776.25,6776.25,6805.25,1.3583870857856235,9.84830637194577,0.8550158472764796,-9.848306371945771,-0.8550158472764796,-1.0000000000000002,8.0,long,,htf_long_bos_sweep,False,False,A+,8
ES=F,long,2025-11-20T09:57:00-05:00,2025-11-20T10:05:00-05:00,6783.5,6779.5,6779.5,6795.5,1.3467726609347994,5.387090643739198,0.47173288125598883,-5.387090643739198,-0.47173288125598883,-1.0,8.0,long,,htf_long_bos_sweep,True,False,A+,8
