symbol,direction,entry_time,exit_time,entry_price,exit_price,stop_price,tp_price,tp1_price,tp1_hit,tp2_hit,size,risk_amount,risk_pct,pnl,pnl_pct,r_multiple,leverage,htf_bias,smt_tag,context,grade,setup_score
ES=F,short,2025-11-20T14:03:00-05:00,2025-11-20T14:10:00-05:00,6578.75,6589.75,6589.75,6545.75,6567.75,False,False,1.2160364810944329,13.376401292038762,1.3376401292038762,-13.37640129203876,-1.337640129203876,-0.9999999999999999,8.0,short,,bias_short_bos,A,6
ES=F,short,2025-11-21T09:51:00-05:00,2025-11-21T09:52:00-05:00,6578.25,6582.25,6582.25,6566.25,6574.25,False,False,1.1998614813459034,4.799445925383614,0.4864515638657697,-4.799445925383614,-0.4864515638657697,-1.0,8.0,short,,bias_short_sweep,A,5
ES=F,long,2025-11-21T09:54:00-05:00,2025-11-21T09:56:00-05:00,6592.5,6580.75,6580.75,6627.75,6604.25,False,False,1.191443795564751,13.999464597885826,1.4258627227910503,-13.999464597885824,-1.4258627227910503,-0.9999999999999999,8.0,long,,bias_long_bos,A,6
ES=F,short,2025-11-21T10:01:00-05:00,2025-11-21T10:25:00-05:00,6571.75,6588.25,6588.25,6522.25,6555.25,True,False,1.1731208341632628,19.356493763693837,2.0,-19.356493763693837,-2.0,-1.0,7.965757575757575,short,,bias_short_bos,A,6
ES=F,short,2025-11-21T10:02:00-05:00,2025-11-21T10:05:00-05:00,6565.75,6578.5,6578.5,6527.5,6553.0,False,False,1.1556555694883273,14.734608510976171,1.5535163538057342,-14.734608510976173,-1.5535163538057344,-1.0000000000000002,8.0,short,,bias_short_bos,A+,7
ES=F,short,2025-11-21T10:07:00-05:00,2025-11-21T10:25:00-05:00,6576.25,6587.0,6587.0,6544.0,6565.5,True,False,1.1358857536255733,12.210771851474913,1.3077361718304508,-12.210771851474913,-1.3077361718304508,-1.0,8.0,short,,bias_short_bos,A,6
ES=F,short,2025-11-21T10:08:00-05:00,2025-11-21T10:25:00-05:00,6572.5,6585.25,6585.25,6534.25,6559.75,True,False,1.1216709794550592,14.301304988052005,1.5519208824648154,-14.301304988052005,-1.5519208824648154,-1.0,8.0,short,,bias_short_bos,A,6
ES=F,short,2025-11-24T09:50:00-05:00,2025-11-24T09:54:00-05:00,6649.75,6666.0,6666.0,6601.0,6633.5,False,False,1.0914353280294686,17.735824080478867,1.954960712808752,-17.735824080478864,-1.9549607128087516,-0.9999999999999998,8.0,short,,bias_short_bos,A+,7
ES=F,short,2025-11-24T09:55:00-05:00,2025-11-24T09:58:00-05:00,6656.75,6667.75,6667.75,6623.75,6645.75,False,False,1.0689729192053372,11.75870211125871,1.3219664250572727,-11.75870211125871,-1.3219664250572727,-1.0,8.0,short,,bias_short_bos,A,6
ES=F,long,2025-11-24T10:00:00-05:00,2025-11-24T12:39:00-05:00,6677.0,6719.0,6663.0,6719.0,6691.0,True,True,1.0516423338370615,14.722992673718862,1.677400029953572,44.16897802115658,5.032200089860716,3.0,8.0,long,,bias_long_bos,A+,7
ES=F,long,2025-11-24T10:01:00-05:00,2025-11-24T10:45:00-05:00,6678.25,6702.25,6670.25,6702.25,6686.25,True,True,1.1043563339496594,8.834850671597275,0.9583348931231985,26.504552014791827,2.875004679369596,3.0,8.0,long,,bias_long_sweep,A,6
ES=F,long,2025-11-25T09:58:00-05:00,2025-11-25T10:02:00-05:00,6714.5,6707.25,6707.25,6736.25,6721.75,False,False,1.1299730588007515,8.192304676305449,0.8638022190781145,-8.192304676305449,-0.8638022190781145,-1.0,8.0,long,,bias_long_bos,A+,7
ES=F,short,2025-11-25T10:03:00-05:00,2025-11-25T10:08:00-05:00,6693.25,6713.75,6713.75,6631.75,6672.75,False,False,0.9172763007203906,18.804164164768007,2.0,-18.804164164768007,-2.0,-1.0,6.529999999999999,short,,bias_short_bos,A+,7
ES=F,long,2025-11-25T10:08:00-05:00,2025-11-25T10:11:00-05:00,6713.75,6704.75,6704.75,6740.75,6722.75,False,False,1.097930717198147,9.881376454783322,1.0724259914354868,-9.881376454783322,-1.0724259914354868,-1.0,8.0,long,,bias_long_bos,A+,7
