symbol,direction,entry_time,exit_time,entry_price,exit_price,stop_price,tp_price,size,risk_amount,risk_pct,pnl,pnl_pct,r_multiple,leverage,htf_bias,smt_tag,context,tp1_hit,tp2_hit,grade,setup_score
ES=F,long,2025-11-19T09:51:00-05:00,2025-11-19T09:59:00-05:00,6672.0,6693.0,6665.0,6693.0,1.1990407673860912,8.393285371702637,0.8393285371702638,25.179856115107917,2.5179856115107917,3.0000000000000004,8.0,long,,bias_long_bos,True,True,A,6
ES=F,long,2025-11-19T09:52:00-05:00,2025-11-19T10:11:00-05:00,6675.0,6701.25,6666.25,6701.25,1.2286799773664216,10.750949801956189,1.0486891385767791,32.25284940586857,3.146067415730337,3.0,8.0,long,,bias_long_bos,True,True,A+,7
ES=F,long,2025-11-19T09:53:00-05:00,2025-11-19T10:15:00-05:00,6680.0,6704.0,6672.0,6704.0,1.266386473677816,10.131091789422529,0.9580838323353293,30.393275368267588,2.874251497005988,3.0,8.0,long,,bias_long_bos,True,True,A+,7
ES=F,long,2025-11-19T09:55:00-05:00,2025-11-19T10:00:00-05:00,6682.75,6694.0,6679.0,6694.0,1.302249500147986,4.883435625554947,0.4489169877670121,14.65030687666484,1.3467509633010364,3.0,8.0,long,,bias_long_bos_sweep,True,True,A+,8
ES=F,long,2025-11-19T09:56:00-05:00,2025-11-19T10:12:00-05:00,6684.0,6702.75,6677.75,6702.75,1.3195407393966594,8.24712962122912,0.7480550568521843,24.741388863687362,2.244165170556553,3.0,8.0,long,,bias_long_bos,True,True,A+,7
ES=F,long,2025-11-19T09:57:00-05:00,2025-11-19T10:04:00-05:00,6685.25,6697.25,6681.25,6697.25,1.348901149999891,5.395604599999564,0.4786657193074306,16.186813799998692,1.4359971579222917,3.0,8.0,long,,bias_long_bos,True,True,A,6
ES=F,long,2025-11-20T09:56:00-05:00,2025-11-20T10:06:00-05:00,6783.5,6776.25,6776.25,6805.25,1.3484537367784715,9.776289591643918,0.8550158472764798,-9.776289591643918,-0.8550158472764798,-1.0,8.0,long,,bias_long_bos,False,False,A,6
ES=F,long,2025-11-20T09:58:00-05:00,2025-11-20T10:05:00-05:00,6785.0,6780.25,6780.25,6799.25,1.3366286819017845,6.348986239033477,0.5600589535740604,-6.348986239033477,-0.5600589535740604,-1.0,8.0,long,,bias_long_bos,True,False,A,6
ES=F,long,2025-11-20T10:00:00-05:00,2025-11-20T10:02:00-05:00,6786.25,6782.5,6782.5,6797.5,1.3288979505310505,4.9833673144914385,0.4420703628660895,-4.983367314491439,-0.4420703628660896,-1.0000000000000002,8.0,long,,bias_long_bos,False,False,A,6
ES=F,short,2025-11-20T10:08:00-05:00,2025-11-20T10:18:00-05:00,6767.25,6774.75,6774.75,6744.75,1.3267378592892842,9.950533944669631,0.8866230743655104,-9.950533944669631,-0.8866230743655104,-1.0,8.0,short,,bias_short_bos,False,False,A+,7
