symbol,direction,entry_time,exit_time,entry_price,exit_price,stop_price,tp_price,size,risk_amount,risk_pct,pnl,pnl_pct,r_multiple,leverage,htf_bias,smt_tag,context,tp1_hit,tp2_hit,grade,setup_score
ES=F,long,2025-11-19T09:55:00-05:00,2025-11-19T10:00:00-05:00,6682.75,6694.0,6679.0,6694.0,1.197111967378699,4.489169877670122,0.44891698776701217,13.467509633010364,1.3467509633010364,2.9999999999999996,8.0,long,,bias_long_bos_sweep,True,True,A+,8
ES=F,short,2025-11-19T14:06:00-05:00,2025-11-19T14:08:00-05:00,6650.25,6655.0,6655.0,6636.0,1.219163200941932,5.7910252044741775,0.5714070899590241,-5.791025204474177,-0.5714070899590241,-0.9999999999999999,8.0,short,,bias_short_bos_sweep,False,False,A+,8
ES=F,short,2025-11-20T13:53:00-05:00,2025-11-20T13:57:00-05:00,6576.5,6582.25,6582.25,6559.25,1.2257905991679905,7.048295945215945,0.6994601991941002,-7.048295945215945,-0.6994601991941002,-1.0,8.0,short,,bias_short_bos_sweep,False,False,A+,8
ES=F,short,2025-11-20T14:02:00-05:00,2025-11-20T14:10:00-05:00,6582.25,6589.25,6589.25,6561.25,1.2161533682048784,8.513073577434149,0.8507729119981768,-8.513073577434149,-0.8507729119981768,-1.0,8.0,short,,bias_short_bos_sweep,True,False,A+,8
ES=F,short,2025-11-21T09:59:00-05:00,2025-11-21T10:00:00-05:00,6576.25,6582.25,6582.25,6558.25,1.2069068115182797,7.241440869109678,0.7298992586960653,-7.241440869109678,-0.7298992586960653,-1.0,8.0,short,,bias_short_bos_sweep,False,False,A+,8
ES=F,long,2025-11-21T14:06:00-05:00,2025-11-21T14:13:00-05:00,6668.25,6661.75,6661.75,6687.75,1.1815677864948393,7.680190612216455,0.7798147939864283,-7.680190612216455,-0.7798147939864283,-1.0,8.0,long,,bias_long_bos_sweep,False,False,A+,8
ES=F,long,2025-11-24T13:54:00-05:00,2025-11-24T13:56:00-05:00,6726.25,6724.25,6724.25,6732.25,1.1622446188286906,2.324489237657381,0.2378740011150344,-2.324489237657381,-0.2378740011150344,-1.0,8.0,long,,bias_long_bos_sweep,False,False,A+,8
