symbol,strategy_mode,risk_profile,timeframe,lookback_days,entry_time,exit_time,direction,entry_price,stop_price,tp1_price,tp_price,exit_price,size,risk_amount,risk_pct,pnl,pnl_pct,r_multiple,leverage,htf_bias,smt_tag,context,tp1_hit,tp2_hit,grade,setup_score
NQ=F,full_trader_pro,agressif,1m,6,2025-11-17T10:08:00-05:00,2025-11-17T11:31:00-05:00,short,25083.75,25083.75,25008.5,24858.0,25083.75,0.39867109634551495,30.0,3.0,15.0,1.5,0.5,10.00016611295681,short,ok,nq_bos+conf+smt,True,False,B,50
NQ=F,full_trader_pro,agressif,1m,6,2025-11-17T13:55:00-05:00,2025-11-17T18:01:00-05:00,short,24926.75,24926.75,24802.75,24554.75,24926.75,0.24193548387096775,30.0,3.0,15.0,1.5,0.5,6.030665322580645,short,ok,nq_bos+conf+smt,True,False,A,75
NQ=F,full_trader_pro,agressif,1m,6,2025-11-18T09:55:00-05:00,2025-11-18T12:53:00-05:00,short,24555.0,24738.0,24372.0,24006.0,24738.0,0.16393442622950818,30.0,3.0,-29.999999999999996,-2.9999999999999996,-0.9999999999999999,4.025409836065574,short,ok,nq_bos+conf+smt,False,False,B,50
NQ=F,full_trader_pro,agressif,1m,6,2025-11-18T13:56:00-05:00,2025-11-18T14:40:00-05:00,short,24730.25,24804.5,24656.0,24507.5,24804.5,0.40404040404040403,30.0,3.0,-30.0,-3.0,-1.0,9.992020202020202,short,ok,nq_bos+conf+smt,False,False,B,50
NQ=F,full_trader_pro,agressif,1m,6,2025-11-20T13:51:00-05:00,2025-11-20T14:27:00-05:00,short,24274.5,24348.75,24200.25,24051.75,24348.75,0.40404040404040403,30.0,3.0,-30.0,-3.0,-1.0,9.807878787878789,short,ok,nq_bos+conf+smt,False,False,B,50
NQ=F,full_trader_pro,agressif,1m,6,2025-11-21T10:01:00-05:00,2025-11-21T10:23:00-05:00,short,24130.25,24130.25,24032.0,23835.5,24130.25,0.3053435114503817,30.0,3.0,15.0,1.5,0.5,7.368015267175573,short,ok,nq_bos+conf+smt,True,False,B,50
