symbol,direction,entry_time,exit_time,entry_price,exit_price,stop_price,tp_price,size,risk_amount,risk_pct,pnl,pnl_pct,r_multiple,leverage,htf_bias,smt_tag,context,tp1_hit,tp2_hit,grade,setup_score
ES=F,long,2025-11-19T09:52:00-05:00,2025-11-19T10:11:00-05:00,6675.0,6701.25,6666.25,6701.25,1.198501872659176,10.486891385767791,1.0486891385767791,31.460674157303373,3.146067415730337,3.0,8.0,long,,bias_long_bos,True,True,A+,7
ES=F,long,2025-11-19T09:53:00-05:00,2025-11-19T10:15:00-05:00,6680.0,6704.0,6672.0,6704.0,1.2352822444997644,9.882257955998115,0.9580838323353291,29.646773867994348,2.874251497005988,3.0,8.0,long,,bias_long_bos,True,True,A+,7
ES=F,long,2025-11-19T09:55:00-05:00,2025-11-19T10:00:00-05:00,6682.75,6694.0,6679.0,6694.0,1.2702644247057548,4.763491592646581,0.44891698776701217,14.290474777939743,1.3467509633010364,3.0,8.0,long,,bias_long_bos_sweep,True,True,A+,8
ES=F,long,2025-11-19T09:56:00-05:00,2025-11-19T10:12:00-05:00,6684.0,6702.75,6677.75,6702.75,1.287130966850075,8.04456854281297,0.7480550568521844,24.133705628438907,2.244165170556553,3.0,8.0,long,,bias_long_bos,True,True,A+,7
ES=F,long,2025-11-19T09:59:00-05:00,2025-11-19T10:48:00-05:00,6691.75,6683.5,6683.5,6716.5,1.3144921773009173,10.844560462732568,0.986289087309,-10.844560462732568,-0.986289087309,-1.0,8.0,long,,bias_long_bos,True,False,A+,7
ES=F,short,2025-11-19T14:06:00-05:00,2025-11-19T14:08:00-05:00,6650.25,6655.0,6655.0,6636.0,1.30964949344033,6.2208350938415675,0.5714070899590241,-6.2208350938415675,-0.5714070899590241,-1.0,8.0,short,,bias_short_bos_sweep,False,False,A+,8
ES=F,short,2025-11-20T10:08:00-05:00,2025-11-20T10:18:00-05:00,6767.25,6774.75,6774.75,6744.75,1.2796527190514344,9.597395392885758,0.8866230743655102,-9.597395392885758,-0.8866230743655102,-1.0,8.0,short,,bias_short_bos,False,False,A+,7
ES=F,short,2025-11-20T13:53:00-05:00,2025-11-20T13:57:00-05:00,6576.5,6582.25,6582.25,6559.25,1.3050940013468766,7.504290507744541,0.6994601991941002,-7.504290507744541,-0.6994601991941002,-1.0,8.0,short,,bias_short_bos_sweep,False,False,A+,8
ES=F,short,2025-11-20T14:02:00-05:00,2025-11-20T14:10:00-05:00,6582.25,6589.25,6589.25,6561.25,1.294833282812986,9.063832979690902,0.850772911998177,-9.063832979690902,-0.850772911998177,-1.0,8.0,short,,bias_short_bos_sweep,True,False,A+,8
ES=F,short,2025-11-21T09:59:00-05:00,2025-11-21T10:00:00-05:00,6576.25,6582.25,6582.25,6558.25,1.2849885135081922,7.709931081049153,0.7298992586960653,-7.709931081049153,-0.7298992586960653,-1.0,8.0,short,,bias_short_bos_sweep,False,False,A+,8
ES=F,short,2025-11-21T10:02:00-05:00,2025-11-21T10:05:00-05:00,6565.75,6578.5,6578.5,6527.5,1.2776493566325031,16.290029297064414,1.5535163538057344,-16.290029297064414,-1.5535163538057344,-1.0,8.0,short,,bias_short_bos,False,False,A+,7
ES=F,long,2025-11-21T14:06:00-05:00,2025-11-21T14:13:00-05:00,6668.25,6661.75,6661.75,6687.75,1.2384667684824866,8.050033995136163,0.7798147939864282,-8.050033995136163,-0.7798147939864282,-1.0,8.0,long,,bias_long_bos_sweep,False,False,A+,8
ES=F,short,2025-11-24T09:50:00-05:00,2025-11-24T09:54:00-05:00,6649.75,6666.0,6666.0,6601.0,1.2322276411853454,20.023699169261867,1.9549607128087523,-20.023699169261864,-1.954960712808752,-0.9999999999999998,8.0,short,,bias_short_bos,False,False,A+,9
ES=F,long,2025-11-24T10:00:00-05:00,2025-11-24T12:39:00-05:00,6677.0,6719.0,6663.0,6719.0,1.203207452990588,16.844904341868233,1.6774000299535716,50.5347130256047,5.032200089860715,3.0,8.0,long,,bias_long_bos,True,True,A+,7
ES=F,long,2025-11-24T10:03:00-05:00,2025-11-24T10:10:00-05:00,6683.75,6678.0,6678.0,6701.0,1.2624789777928553,7.259254122308918,0.6882363942397607,-7.259254122308918,-0.6882363942397607,-1.0,8.0,long,,bias_long_bos,False,False,A+,7
ES=F,long,2025-11-24T13:54:00-05:00,2025-11-24T13:56:00-05:00,6726.25,6724.25,6724.25,6732.25,1.2458680297111355,2.491736059422271,0.2378740011150344,-2.491736059422271,-0.2378740011150344,-1.0,8.0,long,,bias_long_bos_sweep,False,False,A+,8
ES=F,long,2025-11-24T14:02:00-05:00,2025-11-24T14:13:00-05:00,6727.75,6725.0,6725.0,6736.0,1.2426273191437178,3.417225127645224,0.327003827431162,-3.417225127645224,-0.327003827431162,-1.0,8.0,long,,bias_long_bos,False,False,A+,7
ES=F,long,2025-11-25T09:58:00-05:00,2025-11-25T10:02:00-05:00,6714.5,6707.25,6707.25,6736.25,1.241007989477695,8.997307923713288,0.8638022190781143,-8.99730792371329,-0.8638022190781145,-1.0000000000000002,8.0,long,,bias_long_bos,False,False,A+,7
ES=F,long,2025-11-25T09:59:00-05:00,2025-11-25T10:01:00-05:00,6718.25,6711.0,6711.0,6740.0,1.2296014113732412,8.914610232455999,0.8633200610277975,-8.914610232455999,-0.8633200610277975,-1.0,8.0,long,,bias_long_bos,False,False,A+,7
ES=F,short,2025-11-25T10:03:00-05:00,2025-11-25T10:08:00-05:00,6693.25,6713.75,6713.75,6631.75,0.998713756109589,20.473632000246575,2.0,-20.473632000246575,-2.0,-1.0,6.529999999999999,short,,bias_short_bos,False,False,A+,9
ES=F,long,2025-11-25T10:08:00-05:00,2025-11-25T10:11:00-05:00,6713.75,6704.75,6704.75,6740.75,1.195406999679264,10.758662997113374,1.0724259914354868,-10.758662997113376,-1.072425991435487,-1.0000000000000002,8.0,long,,bias_long_bos,False,False,A+,7
