symbol,direction,entry_time,exit_time,entry_price,exit_price,stop_price,tp_price,size,risk_amount,risk_pct,pnl,pnl_pct,r_multiple,leverage,htf_bias,smt_tag,context,tp1_hit,tp2_hit,grade,setup_score
NQ=F,long,2025-11-19T09:54:00-05:00,2025-11-19T10:15:00-05:00,24840.0,24972.75,24795.75,24972.75,0.32206119162640906,14.2512077294686,1.42512077294686,42.753623188405804,4.27536231884058,3.0000000000000004,8.0,long,,bias_long_bos,True,True,A+,9
NQ=F,short,2025-11-20T14:03:00-05:00,2025-11-20T14:17:00-05:00,24235.5,24297.0,24297.0,24051.0,0.3391068693295628,20.855072463768114,1.9999999999999998,-20.855072463768114,-1.9999999999999998,-1.0,7.881463414634146,short,,bias_short_bos,False,False,A+,9
NQ=F,long,2025-11-21T09:52:00-05:00,2025-11-21T09:56:00-05:00,24238.25,24177.75,24177.75,24419.75,0.33728459793083665,20.405718174815615,1.9968438315472445,-20.40571817481562,-1.9968438315472448,-1.0000000000000002,8.0,long,,bias_long_bos,False,False,A+,8
NQ=F,long,2025-11-21T09:53:00-05:00,2025-11-21T09:56:00-05:00,24245.75,24184.0,24184.0,24431.0,0.32437014819427434,20.02985665099644,2.0,-20.02985665099644,-2.0,-1.0,7.852874493927127,long,,bias_long_bos,False,False,A+,8
NQ=F,long,2025-11-24T09:52:00-05:00,2025-11-24T10:45:00-05:00,24641.0,24812.0,24584.0,24812.0,0.31864387838117786,18.162701067727138,1.8505742461750736,54.48810320318142,5.551722738525222,3.0,8.0,long,,bias_long_bos,True,True,A+,8
NQ=F,long,2025-11-24T09:53:00-05:00,2025-11-24T10:45:00-05:00,24666.0,24816.0,24616.0,24816.0,0.3359932146605066,16.799660733025327,1.6216654504175785,50.39898219907599,4.864996351252736,3.0000000000000004,8.0,long,,bias_long_bos,True,True,A+,9
NQ=F,long,2025-11-24T10:00:00-05:00,2025-11-24T12:30:00-05:00,24703.5,24893.25,24640.25,24893.25,0.3435099008066666,21.727001226021663,2.0,65.18100367806498,6.0,2.9999999999999996,7.811383399209486,long,,bias_long_bos,True,True,A+,9
NQ=F,short,2025-11-25T10:03:00-05:00,2025-11-25T10:08:00-05:00,24680.0,24783.75,24783.75,24368.75,0.22198189204417312,23.03062129958296,1.9999999999999998,-23.03062129958296,-1.9999999999999998,-1.0,4.757590361445783,short,,bias_short_bos,False,False,A+,9
